Date,Equity Zone,Age Group,Race/Ethnicity,Population Size,1st Dose,1st Dose Percent,Vaccine Series Completed,Vaccine Series Completed Percent,Bivalent,Bivalent Percent,Region Centroid
1/2/21,Southwest,All Ages,"Asian, Non-Latinx",35459,274,0.008,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,Southwest,0 to 17,"Black, Non-Latinx",12260,0,0,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,West,0 to 17,"Asian, Non-Latinx",2087,0,0,0,0,0,0,POINT (-87.708185821836 41.876968553057)
1/2/21,Far South,0 to 17,"Asian, Non-Latinx",156,0,0,0,0,0,0,POINT (-87.606506619729 41.692376500251)
1/2/21,Southwest,18 to 64,"Black, Non-Latinx",34560,293,0.008,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,Southwest,18 to 64,Latinx,152226,1089,0.007,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,Southwest,18 to 64,"Other, Non-Latinx",3192,84,0.026,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,West,18 to 64,"White, Non-Latinx",90622,3371,0.037,0,0,0,0,POINT (-87.708185821836 41.876968553057)
1/2/21,North/Central,All Ages,"Black, Non-Latinx",65213,915,0.014,0,0,0,0,POINT (-87.660389127992 41.947213716152)
1/2/21,Near South,0 to 17,"Other, Non-Latinx",223,0,0,0,0,0,0,POINT (-87.613866077747 41.77153043546)
1/2/21,Near South,65 and Older,"White, Non-Latinx",3391,101,0.03,0,0,0,0,POINT (-87.613866077747 41.77153043546)
1/2/21,Northwest,0 to 17,"Asian, Non-Latinx",6758,1,0,0,0,0,0,POINT (-87.7868284 41.9626701)
1/2/21,North/Central,65 and Older,"Asian, Non-Latinx",7659,115,0.015,0,0,0,0,POINT (-87.660389127992 41.947213716152)
1/2/21,Far South,18 to 64,"Black, Non-Latinx",88499,547,0.006,0,0,0,0,POINT (-87.606506619729 41.692376500251)
1/2/21,North/Central,18 to 64,"Black, Non-Latinx",44968,801,0.018,0,0,0,0,POINT (-87.660389127992 41.947213716152)
1/2/21,West,All Ages,"Asian, Non-Latinx",20159,1145,0.057,0,0,0,0,POINT (-87.708185821836 41.876968553057)
1/2/21,Southwest,0 to 17,"Other, Non-Latinx",1235,0,0,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,Far South,18 to 64,Latinx,23501,164,0.007,0,0,0,0,POINT (-87.606506619729 41.692376500251)
1/2/21,West,0 to 17,Latinx,40858,0,0,0,0,0,0,POINT (-87.708185821836 41.876968553057)
1/2/21,West,0 to 17,All Race/ Ethnicity Groups,97816,2,0,0,0,0,0,POINT (-87.708185821836 41.876968553057)
1/2/21,Far South,65 and Older,Latinx,3472,22,0.006,0,0,0,0,POINT (-87.606506619729 41.692376500251)
1/2/21,West,18 to 64,"Asian, Non-Latinx",17546,1137,0.065,0,0,0,0,POINT (-87.708185821836 41.876968553057)
1/2/21,Southwest,65 and Older,Latinx,18626,50,0.003,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,Southwest,65 and Older,"White, Non-Latinx",17417,55,0.003,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,Northwest,18 to 64,"Asian, Non-Latinx",26912,938,0.035,0,0,0,0,POINT (-87.7868284 41.9626701)
1/2/21,Near South,0 to 17,"Black, Non-Latinx",70957,2,0,0,0,0,0,POINT (-87.613866077747 41.77153043546)
1/2/21,North/Central,0 to 17,"Other, Non-Latinx",698,0,0,0,0,0,0,POINT (-87.660389127992 41.947213716152)
1/2/21,North/Central,All Ages,"Asian, Non-Latinx",72500,2674,0.037,0,0,0,0,POINT (-87.660389127992 41.947213716152)
1/2/21,North/Central,All Ages,"White, Non-Latinx",379225,9566,0.025,0,0,0,0,POINT (-87.660389127992 41.947213716152)
1/2/21,Near South,65 and Older,"Other, Non-Latinx",53,20,0.377,0,0,0,0,POINT (-87.613866077747 41.77153043546)
1/2/21,Southwest,0 to 17,All Race/ Ethnicity Groups,101860,0,0,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,Far South,0 to 17,"Black, Non-Latinx",32655,1,0,0,0,0,0,POINT (-87.606506619729 41.692376500251)
1/2/21,Northwest,0 to 17,"White, Non-Latinx",39645,2,0,0,0,0,0,POINT (-87.7868284 41.9626701)
1/2/21,West,0 to 17,"Other, Non-Latinx",324,0,0,0,0,0,0,POINT (-87.708185821836 41.876968553057)
1/2/21,Near South,65 and Older,All Race/ Ethnicity Groups,55945,457,0.008,0,0,0,0,POINT (-87.613866077747 41.77153043546)
1/2/21,Far South,65 and Older,All Race/ Ethnicity Groups,38312,288,0.008,0,0,0,0,POINT (-87.606506619729 41.692376500251)
1/2/21,West,All Ages,"Other, Non-Latinx",2038,398,0.195,0,0,0,0,POINT (-87.708185821836 41.876968553057)
1/2/21,Near South,18 to 64,"Other, Non-Latinx",647,106,0.164,0,0,0,0,POINT (-87.613866077747 41.77153043546)
1/2/21,West,18 to 64,Latinx,98810,922,0.009,0,0,0,0,POINT (-87.708185821836 41.876968553057)
1/2/21,Near South,All Ages,Latinx,20272,176,0.009,0,0,0,0,POINT (-87.613866077747 41.77153043546)
1/2/21,West,0 to 17,"White, Non-Latinx",11462,1,0,0,0,0,0,POINT (-87.708185821836 41.876968553057)
1/2/21,North/Central,All Ages,All Race/ Ethnicity Groups,599806,16528,0.028,0,0,0,0,POINT (-87.660389127992 41.947213716152)
1/2/21,North/Central,0 to 17,"White, Non-Latinx",44622,1,0,0,0,0,0,POINT (-87.660389127992 41.947213716152)
1/2/21,West,All Ages,"Black, Non-Latinx",185601,890,0.005,0,0,0,0,POINT (-87.708185821836 41.876968553057)
1/2/21,Southwest,65 and Older,All Race/ Ethnicity Groups,52163,222,0.004,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,North/Central,65 and Older,"Black, Non-Latinx",7120,114,0.016,0,0,0,0,POINT (-87.660389127992 41.947213716152)
1/2/21,Southwest,18 to 64,All Race/ Ethnicity Groups,251526,2491,0.01,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,North/Central,0 to 17,Latinx,16387,0,0,0,0,0,0,POINT (-87.660389127992 41.947213716152)
1/2/21,Near South,All Ages,"Other, Non-Latinx",923,126,0.137,0,0,0,0,POINT (-87.613866077747 41.77153043546)
1/2/21,Near South,18 to 64,"Black, Non-Latinx",184196,1280,0.007,0,0,0,0,POINT (-87.613866077747 41.77153043546)
1/2/21,Southwest,0 to 17,"White, Non-Latinx",6820,0,0,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,Southwest,18 to 64,"Asian, Non-Latinx",22745,265,0.012,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,Far South,18 to 64,"Asian, Non-Latinx",758,12,0.016,0,0,0,0,POINT (-87.606506619729 41.692376500251)
1/2/21,Far South,All Ages,All Race/ Ethnicity Groups,230442,1927,0.008,0,0,0,0,POINT (-87.606506619729 41.692376500251)
1/2/21,Northwest,0 to 17,"Black, Non-Latinx",4701,0,0,0,0,0,0,POINT (-87.7868284 41.9626701)
1/2/21,Northwest,18 to 64,"White, Non-Latinx",173364,3386,0.02,0,0,0,0,POINT (-87.7868284 41.9626701)
1/2/21,Southwest,18 to 64,"White, Non-Latinx",38804,665,0.017,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,Northwest,65 and Older,"Other, Non-Latinx",274,51,0.186,0,0,0,0,POINT (-87.7868284 41.9626701)
1/2/21,North/Central,65 and Older,All Race/ Ethnicity Groups,67651,1163,0.017,0,0,0,0,POINT (-87.660389127992 41.947213716152)
1/2/21,West,65 and Older,"White, Non-Latinx",6806,94,0.014,0,0,0,0,POINT (-87.708185821836 41.876968553057)
1/2/21,Far South,0 to 17,"White, Non-Latinx",8221,1,0,0,0,0,0,POINT (-87.606506619729 41.692376500251)
1/2/21,Near South,0 to 17,"Asian, Non-Latinx",694,0,0,0,0,0,0,POINT (-87.613866077747 41.77153043546)
1/2/21,North/Central,All Ages,Latinx,80312,1046,0.013,0,0,0,0,POINT (-87.660389127992 41.947213716152)
1/2/21,Northwest,18 to 64,"Other, Non-Latinx",2299,264,0.115,0,0,0,0,POINT (-87.7868284 41.9626701)
1/2/21,West,65 and Older,All Race/ Ethnicity Groups,49302,291,0.006,0,0,0,0,POINT (-87.708185821836 41.876968553057)
1/2/21,Southwest,All Ages,All Race/ Ethnicity Groups,405548,2713,0.007,0,0,0,0,POINT (-87.705979159982 41.792526208483)
1/2/21,Far South,All Ages,Latinx,39142,186,0.005,0,0,0,0,POINT (-87.606506619729 41.692376500251)
1/2/21,Near South,All Ages,"Black, Non-Latinx",305264,1557,0.005,0,0,0,0,POINT (-87.613866077747 41.77153043546)
1/2/21,Far South,0 to 17,"Other, Non-Latinx",196,0,0,0,0,0,0,POINT (-87.606506619729 41.692376500251)
1/2/21,West,18 to 64,All Race/ Ethnicity Groups,325796,7162,0.022,0,0,0,0,POINT (-87.708185821836 41.876968553057)
1/2/21,Northwest,65 and Older,Latinx,19879,70,0.004,0,0,0,0,POINT (-87.7868284 41.9626701)
1/2/21,Southwest,65 and Older,"Black, Non-Latinx",9784,80,0.008,0,0,0,0,POINT (-87.705979159982 41.792526208483)
