Date,Cases Rate - Total,Deaths Rate - Total,Hospitalizations Rate - Total,Cases Rate - Age 0-17,Cases Rate - Age 18-29,Cases Rate - Age 30-39,Cases Rate - Age 40-49,Cases Rate - Age 50-59,Cases Rate - Age 60-69,Cases Rate - Age 70-79,Cases Rate -  Age 80+,Cases Rate - Female,Cases Rate - Male,Cases Rate - Latinx,Cases Rate - Asian Non-Latinx,Cases Rate - Black Non-Latinx,Cases Rate - White Non-Latinx,Cases Rate - Other Race Non-Latinx,Deaths Rate - Age 0-17,Deaths Rate - Age 18-29,Deaths Rate - Age 30-39,Deaths Rate - Age 40-49,Deaths Rate - Age 50-59,Deaths Rate - Age 60-69,Deaths Rate - Age 70-79,Deaths Rate - Age 80+,Deaths Rate - Female,Deaths Rate - Male,Deaths Rate - Latinx,Deaths Rate - Asian Non-Latinx,Deaths Rate - Black Non-Latinx,Deaths Rate - White Non-Latinx,Deaths Rate - Other Race Non-Latinx,Hospitalizations Rate -  Age 0-17,Hospitalizations Rate -  Age 18-29,Hospitalizations Rate -  Age 30-39,Hospitalizations Rate -  Age 40-49,Hospitalizations Rate -  Age 50-59,Hospitalizations Rate -  Age 60-69,Hospitalizations Rate -  Age 70-79,Hospitalizations Rate -  Age 80+,Hospitalizations Rate -  Female,Hospitalizations Rate -  Male,Hospitalizations Rate -  Latinx,Hospitalizations Rate -  Asian Non-Latinx,Hospitalizations Rate -  Black Non-Latinx,Hospitalizations Rate -  White Non-Latinx,Hospitalizations Rate -  Other Race Non-Latinx,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Female,Cases - Male,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Female,Deaths - Male,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx
1/1/21,40.25,0.78,2.71,22.66,46.74,47.9,46.32,48.02,38.78,31.73,38.04,41.1,39.05,51.21,19.62,23.39,30.05,42.69,0,0,0.03,0.34,0.73,1.63,4.32,8.22,0.59,0.98,0.92,0.32,0.89,0.68,0.24,0.26,0.59,1.06,1.87,4.66,5.65,9.38,16.97,2.62,2.81,2.67,1.19,3.83,1.75,2.15,1089.3,21.1,73.4,124.4,258.4,218.6,155.9,150.3,102,49.3,30.4,569.7,515.4,397.7,35.3,183.4,270.4,51,0,0,0.1,1.1,2.3,4.3,6.7,6.6,8.1,13,7.1,0.6,7,6.1,0.3,1.4,3.3,4.9,6.3,14.6,14.9,14.6,13.6,36.3,37.1,20.7,2.1,30,15.7,2.6
1/2/21,41.09,0.79,2.64,23.5,47.85,48.84,47.85,48.29,38.68,32.65,38.76,41.98,39.86,52.59,20.41,23.72,30.94,42.09,0,0.03,0.03,0.34,0.78,1.63,4.05,8.75,0.55,1.05,0.96,0.56,0.87,0.65,0.24,0.21,0.52,1.06,1.87,4.56,5.65,9.01,16.61,2.45,2.85,2.54,1.35,3.73,1.78,2.03,1112,21.4,71.6,129,264.6,222.9,161,151.1,101.7,50.7,31,581.9,526.1,408.4,36.7,186,278.4,50.3,0,0.1,0.1,1.1,2.4,4.3,6.3,7,7.6,13.9,7.4,1,6.9,5.9,0.3,1.1,2.9,4.9,6.3,14.3,14.9,14,13.3,34,37.6,19.7,2.4,29.3,16,2.4
1/3/21,41.34,0.77,2.52,24.15,48.99,49.4,47.77,47.52,38.3,32.1,37.33,42.02,40.36,52.66,21.29,24.08,31.08,40.66,0,0.03,0.03,0.34,0.64,1.52,4.32,8.39,0.54,1.02,1.05,0.64,0.78,0.57,0.24,0.23,0.59,0.97,2,3.74,5.49,8.92,15.54,2.33,2.72,2.5,1.51,3.48,1.67,2.15,1118.7,20.9,68.1,132.6,270.9,225.4,160.7,148.7,100.7,49.9,29.9,582.4,532.7,409,38.3,188.9,279.7,48.6,0,0.1,0.1,1.1,2,4,6.7,6.7,7.4,13.4,8.1,1.1,6.1,5.1,0.3,1.3,3.3,4.4,6.7,11.7,14.4,13.9,12.4,32.3,35.9,19.4,2.7,27.3,15,2.6
1/4/21,42.47,0.73,2.56,24.88,51.78,50.28,51.46,46.74,36.5,32.56,38.58,43.48,41.09,53.78,21.61,24.81,32.7,40.78,0,0.03,0.03,0.34,0.55,1.52,3.95,8.04,0.52,0.95,1.01,0.64,0.71,0.54,0.24,0.23,0.67,1.06,2,3.56,5.65,8.74,16.43,2.37,2.76,2.65,1.51,3.61,1.6,1.91,1149.1,19.7,69.3,136.6,286.3,229.4,173.1,146.3,96,50.6,30.9,602.7,542.3,417.7,38.9,194.6,294.3,48.7,0,0.1,0.1,1.1,1.7,4,6.1,6.4,7.1,12.6,7.9,1.1,5.6,4.9,0.3,1.3,3.7,4.9,6.7,11.1,14.9,13.6,13.1,32.9,36.4,20.6,2.7,28.3,14.4,2.3
1/5/21,41.89,0.7,2.68,23.63,53.84,48.52,50.74,45.01,35.69,31.91,36.79,42.33,41.1,51.89,22.48,24.35,33.37,39.22,0,0.03,0.03,0.34,0.55,1.41,3.86,7.68,0.46,0.95,0.99,0.71,0.64,0.52,0.24,0.16,0.78,1.03,1.87,3.74,5.81,9.84,17.5,2.44,2.92,2.65,1.67,3.83,1.75,1.91,1133.4,19,72.4,129.7,297.7,221.4,170.7,140.9,93.9,49.6,29.4,586.7,542.4,403,40.4,191,300.3,46.9,0,0.1,0.1,1.1,1.7,3.7,6,6.1,6.4,12.6,7.7,1.3,5,4.7,0.3,0.9,4.3,4.7,6.3,11.7,15.3,15.3,14,33.9,38.6,20.6,3,30,15.7,2.3
1/6/21,41.94,0.64,2.69,23.6,55.03,49.21,51.04,42.91,34,32.92,37.15,42.27,41.31,50.55,24.55,24.41,34.92,38.27,0,0.03,0.03,0.17,0.37,1.41,3.49,7.86,0.46,0.83,0.81,0.79,0.6,0.52,0.24,0.16,0.83,1.03,1.87,3.74,5.59,9.84,18.22,2.38,3.01,2.58,1.83,3.86,1.79,1.67,1134.9,17.4,72.7,129.6,304.3,224.6,171.7,134.3,89.4,51.1,29.7,585.9,545.3,392.6,44.1,191.4,314.3,45.7,0,0.1,0.1,0.6,1.1,3.7,5.4,6.3,6.4,11,6.3,1.4,4.7,4.7,0.3,0.9,4.6,4.7,6.3,11.7,14.7,15.3,14.6,33,39.7,20,3.3,30.3,16.1,2
1/7/21,44.11,0.62,2.8,25.61,58.05,51.66,52.99,44.64,37.7,32.37,35.9,44.18,43.67,54.67,26.29,25.85,35.79,38.27,0,0.03,0.06,0.17,0.46,1.41,3.03,7.32,0.42,0.82,0.77,0.87,0.58,0.48,0.24,0.1,0.93,1.19,2,3.97,5.65,10.21,18.4,2.48,3.13,2.8,1.99,3.86,1.9,1.67,1193.6,16.7,75.7,140.6,321,235.7,178.3,139.7,99.1,50.3,28.7,612.4,576.4,424.6,47.3,202.7,322.1,45.7,0,0.1,0.3,0.6,1.4,3.7,4.7,5.9,5.9,10.9,6,1.6,4.6,4.3,0.3,0.6,5.1,5.4,6.7,12.4,14.9,15.9,14.7,34.4,41.3,21.7,3.6,30.3,17.1,2
1/8/21,49.06,0.61,2.68,29.01,64.95,56.85,58.51,50.03,42.59,34.86,37.51,49.14,48.63,61.25,28.91,29.51,39.3,42.21,0,0.03,0.06,0.21,0.5,1.3,3.22,6.61,0.44,0.78,0.74,1.03,0.6,0.43,0.12,0.16,0.83,0.97,2.04,3.79,5.87,9.47,17.32,2.39,2.99,2.61,1.99,3.75,1.81,1.67,1327.6,16.4,72.6,159.3,359.1,259.4,196.9,156.6,112,54.1,30,681.1,641.9,475.7,52,231.4,353.7,50.4,0,0.1,0.3,0.7,1.6,3.4,5,5.3,6.1,10.3,5.7,1.9,4.7,3.9,0.1,0.9,4.6,4.4,6.9,11.9,15.4,14.7,13.9,33.1,39.4,20.3,3.6,29.4,16.3,2
1/9/21,47.3,0.59,2.63,28.26,63.4,54.75,54.69,48.2,41.66,33.29,35.01,47.22,47.06,57.83,28.28,29.22,38.18,39.22,0,0,0.06,0.21,0.5,1.3,2.94,6.61,0.47,0.7,0.68,0.87,0.62,0.43,0.12,0.16,0.75,0.91,1.95,3.56,5.92,9.38,17.68,2.41,2.87,2.65,1.83,3.64,1.86,1.08,1280,15.9,71.3,155.1,350.6,249.9,184,150.9,109.6,51.7,28,654.6,621.1,449.1,50.9,229.1,343.6,46.9,0,0,0.3,0.7,1.6,3.4,4.6,5.3,6.6,9.3,5.3,1.6,4.9,3.9,0.1,0.9,4.1,4.1,6.6,11.1,15.6,14.6,14.1,33.4,37.9,20.6,3.3,28.6,16.7,1.3
1/10/21,46.44,0.58,2.61,27.95,61.8,53.53,54.48,47.61,40.47,32.56,34.47,46.46,46.05,57.17,27.09,28.67,37.27,39.94,0,0,0.09,0.17,0.55,1.2,2.94,6.43,0.43,0.73,0.61,0.79,0.6,0.49,0.12,0.13,0.8,0.94,2.12,3.51,5.98,8.74,17.15,2.47,2.76,2.69,1.75,3.57,1.83,1.2,1256.6,15.6,70.7,153.4,341.7,244.3,183.3,149,106.4,50.6,27.6,644,607.9,444,48.7,224.9,335.4,47.7,0,0,0.4,0.6,1.7,3.1,4.6,5.1,6,9.6,4.7,1.4,4.7,4.4,0.1,0.7,4.4,4.3,7.1,11,15.7,13.6,13.7,34.3,36.4,20.9,3.1,28,16.4,1.4
