Date,Age Group,Race/Ethnicity,Population Size,1st Dose,1st Dose Percent,Vaccine Series Completed,Vaccine Series Completed Percent,Boosted,Boosted Percent,Bivalent,Bivalent Percent
1/2/21,0-4,Latinx,54903,0,0,0,0,0,0,0,0
1/2/21,0-4,"Black, non-Latinx",47946,0,0,0,0,0,0,0,0
1/2/21,0-4,"White, non-Latinx",42995,0,0,0,0,0,0,0,0
1/2/21,0-4,"Asian, non-Latinx",9998,0,0,0,0,0,0,0,0
1/2/21,0-4,"Other, non-Latinx",6925,0,0,0,0,0,0,0,0
1/2/21,0-4,Unknown,,0,,0,,0,,0,
1/2/21,0-4,All,162797,0,0,0,0,0,0,0,0
1/2/21,65+,"Black, non-Latinx",125967,691,0.5,0,0,0,0,0,0
1/2/21,50-64,Unknown,,398,,0,,0,,0,
1/2/21,50-64,"White, non-Latinx",149921,3440,2.3,0,0,0,0,0,0
1/2/21,50-64,All,439599,7517,1.7,0,0,0,0,0,0
1/2/21,30-49,Latinx,226340,2393,1.1,0,0,0,0,0,0
1/2/21,30-49,Unknown,,1586,,0,,0,,0,
1/2/21,18-29,"Black, non-Latinx",139472,460,0.3,0,0,0,0,0,0
1/2/21,18-29,"Asian, non-Latinx",41068,1471,3.6,0,0,0,0,0,0
1/2/21,30-49,"Black, non-Latinx",197825,1783,0.9,0,0,0,0,0,0
1/2/21,18-29,Unknown,,885,,0,,0,,0,
1/2/21,18-29,All,526788,9805,1.9,0,0,0,0,0,0
1/2/21,50-64,"Black, non-Latinx",145449,1709,1.2,0,0,0,0,0,0
1/2/21,30-49,"White, non-Latinx",310259,9197,3,0,0,0,0,0,0
1/2/21,18-29,"Other, non-Latinx",11506,401,3.5,0,0,0,0,0,0
1/2/21,30-49,"Other, non-Latinx",10186,837,8.2,0,0,0,0,0,0
1/2/21,18-29,"White, non-Latinx",187581,5255,2.8,0,0,0,0,0,0
1/2/21,30-49,All,809519,18835,2.3,0,0,0,0,0,0
1/2/21,17-Dec,"Black, non-Latinx",57964,4,0,0,0,0,0,0,0
1/2/21,11-May,"Asian, non-Latinx",10651,0,0,0,0,0,0,0,0
1/2/21,17-Dec,Latinx,76627,1,0,0,0,0,0,0,0
1/2/21,17-Dec,"Asian, non-Latinx",8804,2,0,0,0,0,0,0,0
1/2/21,11-May,Latinx,83432,0,0,0,0,0,0,0,0
1/2/21,17-Dec,"White, non-Latinx",35643,4,0,0,0,0,0,0,0
1/2/21,65+,All,362629,3055,0.8,0,0,0,0,0,0
1/2/21,65+,"Other, non-Latinx",3206,161,5,0,0,0,0,0,0
1/2/21,11-May,"White, non-Latinx",43777,0,0,0,0,0,0,0,0
1/2/21,11-May,All,210448,0,0,0,0,0,0,0,0
1/2/21,11-May,Unknown,,0,,0,,0,,0,
1/2/21,17-Dec,All,180859,13,0,0,0,0,0,0,0
1/2/21,11-May,"Other, non-Latinx",6225,0,0,0,0,0,0,0,0
1/2/21,11-May,"Black, non-Latinx",66458,0,0,0,0,0,0,0,0
1/2/21,50-64,"Asian, non-Latinx",27117,805,3,0,0,0,0,0,0
1/2/21,18-29,Latinx,147161,1333,0.9,0,0,0,0,0,0
1/2/21,17-Dec,"Other, non-Latinx",3047,1,0,0,0,0,0,0,0
1/2/21,50-64,"Other, non-Latinx",3063,245,8,0,0,0,0,0,0
1/2/21,17-Dec,Unknown,,1,,0,,0,,0,
1/2/21,65+,"Asian, non-Latinx",26955,214,0.8,0,0,0,0,0,0
1/2/21,30-49,"Asian, non-Latinx",64910,3039,4.7,0,0,0,0,0,0
1/2/21,65+,Latinx,71039,291,0.4,0,0,0,0,0,0
1/2/21,65+,Unknown,,113,,0,,0,,0,
1/2/21,50-64,Latinx,114048,920,0.8,0,0,0,0,0,0
1/2/21,65+,"White, non-Latinx",135462,1585,1.2,0,0,0,0,0,0
1/9/21,0-4,Latinx,54903,0,0,0,0,0,0,0,0
1/9/21,0-4,"Black, non-Latinx",47946,0,0,0,0,0,0,0,0
1/9/21,0-4,"White, non-Latinx",42995,0,0,0,0,0,0,0,0
1/9/21,0-4,"Asian, non-Latinx",9998,0,0,0,0,0,0,0,0
1/9/21,0-4,"Other, non-Latinx",6925,0,0,0,0,0,0,0,0
1/9/21,0-4,Unknown,,0,,0,,0,,0,
1/9/21,0-4,All,162797,0,0,0,0,0,0,0,0
1/9/21,17-Dec,"White, non-Latinx",35643,5,0,2,0,0,0,0,0
1/9/21,30-49,Unknown,,2092,,653,,0,,0,
1/9/21,50-64,"White, non-Latinx",149921,5151,3.4,1152,0.8,0,0,0,0
1/9/21,50-64,"Other, non-Latinx",3063,409,13.4,61,2,0,0,0,0
1/9/21,30-49,"Black, non-Latinx",197825,3040,1.5,409,0.2,0,0,0,0
1/9/21,18-29,"Other, non-Latinx",11506,636,5.5,132,1.1,0,0,0,0
1/9/21,50-64,"Black, non-Latinx",145449,3132,2.2,328,0.2,0,0,0,0
1/9/21,18-29,Unknown,,1257,,333,,0,,0,
1/9/21,50-64,All,439599,12056,2.7,2111,0.5,0,0,0,0
1/9/21,30-49,"White, non-Latinx",310259,12585,4.1,3599,1.2,0,0,0,0
1/9/21,30-49,All,809519,26689,3.3,6753,0.8,0,0,0,0
1/9/21,18-29,"White, non-Latinx",187581,7426,4,1818,1,0,0,0,0
1/9/21,18-29,"Asian, non-Latinx",41068,2192,5.3,476,1.2,0,0,0,0
1/9/21,30-49,"Other, non-Latinx",10186,1137,11.2,329,3.2,0,0,0,0
1/9/21,18-29,All,526788,14600,2.8,3181,0.6,0,0,0,0
1/9/21,30-49,"Asian, non-Latinx",64910,4061,6.3,1184,1.8,0,0,0,0
1/9/21,30-49,Latinx,226340,3774,1.7,579,0.3,0,0,0,0
1/9/21,50-64,Unknown,,655,,124,,0,,0,
1/9/21,18-29,Latinx,147161,2222,1.5,300,0.2,0,0,0,0
1/9/21,17-Dec,"Other, non-Latinx",3047,1,0,0,0,0,0,0,0
1/9/21,11-May,Latinx,83432,0,0,0,0,0,0,0,0
1/9/21,65+,"Black, non-Latinx",125967,1511,1.2,66,0.1,0,0,0,0
1/9/21,17-Dec,"Black, non-Latinx",57964,5,0,0,0,0,0,0,0
1/9/21,11-May,"Other, non-Latinx",6225,0,0,0,0,0,0,0,0
1/9/21,65+,Unknown,,225,,25,,0,,0,
1/9/21,11-May,Unknown,,0,,0,,0,,0,
1/9/21,17-Dec,Unknown,,2,,0,,0,,0,
1/9/21,11-May,"Asian, non-Latinx",10651,0,0,0,0,0,0,0,0
1/9/21,11-May,"White, non-Latinx",43777,0,0,0,0,0,0,0,0
1/9/21,11-May,All,210448,0,0,0,0,0,0,0,0
1/9/21,17-Dec,"Asian, non-Latinx",8804,2,0,0,0,0,0,0,0
1/9/21,17-Dec,All,180859,18,0,2,0,0,0,0,0
1/9/21,65+,Latinx,71039,650,0.9,29,0,0,0,0,0
1/9/21,11-May,"Black, non-Latinx",66458,0,0,0,0,0,0,0,0
1/9/21,17-Dec,Latinx,76627,3,0,0,0,0,0,0,0
1/9/21,65+,"White, non-Latinx",135462,3007,2.2,323,0.2,0,0,0,0
1/9/21,65+,"Asian, non-Latinx",26955,422,1.6,53,0.2,0,0,0,0
1/9/21,18-29,"Black, non-Latinx",139472,867,0.6,122,0.1,0,0,0,0
1/9/21,50-64,"Asian, non-Latinx",27117,1170,4.3,262,1,0,0,0,0
1/9/21,65+,"Other, non-Latinx",3206,314,9.8,28,0.9,0,0,0,0
1/9/21,65+,All,362629,6129,1.7,524,0.1,0,0,0,0
1/9/21,50-64,Latinx,114048,1539,1.3,184,0.2,0,0,0,0
1/16/21,11-May,"White, non-Latinx",43777,0,0,0,0,0,0,0,0
1/16/21,0-4,Latinx,54903,0,0,0,0,0,0,0,0
1/16/21,0-4,"Black, non-Latinx",47946,0,0,0,0,0,0,0,0
1/16/21,0-4,"White, non-Latinx",42995,0,0,0,0,0,0,0,0
1/16/21,0-4,"Asian, non-Latinx",9998,0,0,0,0,0,0,0,0
1/16/21,0-4,"Other, non-Latinx",6925,0,0,0,0,0,0,0,0
1/16/21,0-4,Unknown,,0,,0,,0,,0,
1/16/21,0-4,All,162797,0,0,0,0,0,0,0,0
1/16/21,50-64,Latinx,114048,2402,2.1,407,0.4,0,0,0,0
1/16/21,50-64,All,439599,16902,3.8,4163,0.9,0,0,0,0
1/16/21,18-29,"White, non-Latinx",187581,9556,5.1,3527,1.9,0,0,0,0
1/16/21,18-29,"Asian, non-Latinx",41068,2752,6.7,966,2.4,0,0,0,0
1/16/21,30-49,"Black, non-Latinx",197825,4216,2.1,936,0.5,0,0,0,0
1/16/21,18-29,All,526788,19000,3.6,6317,1.2,0,0,0,0
1/16/21,30-49,All,809519,34258,4.2,12617,1.6,0,0,0,0
1/16/21,50-64,"White, non-Latinx",149921,6937,4.6,2164,1.4,0,0,0,0
1/16/21,50-64,"Black, non-Latinx",145449,4627,3.2,731,0.5,0,0,0,0
1/16/21,30-49,"White, non-Latinx",310259,15878,5.1,6460,2.1,0,0,0,0
1/16/21,50-64,"Other, non-Latinx",3063,551,18,117,3.8,0,0,0,0
1/16/21,30-49,"Other, non-Latinx",10186,1394,13.7,566,5.6,0,0,0,0
1/16/21,30-49,"Asian, non-Latinx",64910,4938,7.6,2186,3.4,0,0,0,0
1/16/21,18-29,"Other, non-Latinx",11506,810,7,248,2.2,0,0,0,0
1/16/21,30-49,Unknown,,2558,,1167,,0,,0,
1/16/21,18-29,Unknown,,1552,,643,,0,,0,
1/16/21,30-49,Latinx,226340,5274,2.3,1302,0.6,0,0,0,0
1/16/21,50-64,Unknown,,883,,225,,0,,0,
1/16/21,65+,Unknown,,377,,44,,0,,0,
1/16/21,11-May,"Asian, non-Latinx",10651,0,0,0,0,0,0,0,0
1/16/21,11-May,"Black, non-Latinx",66458,0,0,0,0,0,0,0,0
1/16/21,17-Dec,"Black, non-Latinx",57964,9,0,0,0,0,0,0,0
1/16/21,11-May,Unknown,,0,,0,,0,,0,
1/16/21,17-Dec,Latinx,76627,5,0,0,0,0,0,0,0
1/16/21,17-Dec,"Other, non-Latinx",3047,1,0,1,0,0,0,0,0
1/16/21,11-May,Latinx,83432,0,0,0,0,0,0,0,0
1/16/21,11-May,"Other, non-Latinx",6225,0,0,0,0,0,0,0,0
1/16/21,17-Dec,"White, non-Latinx",35643,6,0,2,0,0,0,0,0
1/16/21,17-Dec,"Asian, non-Latinx",8804,5,0.1,0,0,0,0,0,0
1/16/21,17-Dec,Unknown,,2,,0,,0,,0,
1/16/21,17-Dec,All,180859,28,0,3,0,0,0,0,0
1/16/21,65+,"Other, non-Latinx",3206,472,14.7,39,1.2,0,0,0,0
1/16/21,11-May,All,210448,0,0,0,0,0,0,0,0
1/16/21,65+,"Asian, non-Latinx",26955,724,2.7,117,0.4,0,0,0,0
1/16/21,18-29,"Black, non-Latinx",139472,1186,0.9,278,0.2,0,0,0,0
1/16/21,65+,"White, non-Latinx",135462,5197,3.8,632,0.5,0,0,0,0
1/16/21,65+,"Black, non-Latinx",125967,2605,2.1,157,0.1,0,0,0,0
1/16/21,65+,All,362629,10680,2.9,1055,0.3,0,0,0,0
1/16/21,65+,Latinx,71039,1305,1.8,66,0.1,0,0,0,0
1/16/21,18-29,Latinx,147161,3144,2.1,655,0.4,0,0,0,0
1/16/21,50-64,"Asian, non-Latinx",27117,1502,5.5,519,1.9,0,0,0,0
1/23/21,0-4,Latinx,54903,0,0,0,0,0,0,0,0
1/23/21,0-4,"Black, non-Latinx",47946,0,0,0,0,0,0,0,0
1/23/21,0-4,"White, non-Latinx",42995,0,0,0,0,0,0,0,0
1/23/21,0-4,"Asian, non-Latinx",9998,0,0,0,0,0,0,0,0
1/23/21,0-4,"Other, non-Latinx",6925,0,0,0,0,0,0,0,0
1/23/21,0-4,Unknown,,0,,0,,0,,0,
1/23/21,0-4,All,162797,0,0,0,0,0,0,0,0
1/23/21,18-29,"White, non-Latinx",187581,11900,6.3,4936,2.6,0,0,0,0
1/23/21,30-49,Unknown,,2988,,1521,,0,,0,
1/23/21,18-29,All,526788,23662,4.5,9116,1.7,0,0,0,0
1/23/21,18-29,Unknown,,1819,,838,,0,,0,
1/23/21,18-29,"Asian, non-Latinx",41068,3215,7.8,1435,3.5,0,0,0,0
1/23/21,18-29,"Other, non-Latinx",11506,984,8.6,363,3.2,0,0,0,0
1/23/21,50-64,"Other, non-Latinx",3063,661,21.6,171,5.6,0,0,0,0
1/23/21,50-64,"White, non-Latinx",149921,9263,6.2,3080,2.1,0,0,0,0
1/23/21,50-64,Latinx,114048,3312,2.9,774,0.7,0,0,0,0
1/23/21,65+,"Black, non-Latinx",125967,6720,5.3,329,0.3,0,0,0,0
1/23/21,50-64,All,439599,22106,5,6409,1.5,0,0,0,0
1/23/21,50-64,"Black, non-Latinx",145449,6019,4.1,1297,0.9,0,0,0,0
1/23/21,50-64,Unknown,,1065,,337,,0,,0,
1/23/21,65+,Latinx,71039,3218,4.5,200,0.3,0,0,0,0
1/23/21,30-49,"Other, non-Latinx",10186,1662,16.3,751,7.4,0,0,0,0
1/23/21,65+,Unknown,,590,,76,,0,,0,
1/23/21,30-49,All,809519,43261,5.3,17472,2.2,0,0,0,0
1/23/21,30-49,"White, non-Latinx",310259,20509,6.6,8720,2.8,0,0,0,0
1/23/21,18-29,"Black, non-Latinx",139472,1574,1.1,432,0.3,0,0,0,0
1/23/21,30-49,Latinx,226340,7054,3.1,2101,0.9,0,0,0,0
1/23/21,17-Dec,"Asian, non-Latinx",8804,9,0.1,1,0,0,0,0,0
1/23/21,30-49,"Black, non-Latinx",197825,5368,2.7,1490,0.8,0,0,0,0
1/23/21,11-May,All,210448,0,0,0,0,0,0,0,0
1/23/21,65+,"White, non-Latinx",135462,13418,9.9,1017,0.8,0,0,0,0
1/23/21,30-49,"Asian, non-Latinx",64910,5680,8.8,2889,4.5,0,0,0,0
1/23/21,17-Dec,"Other, non-Latinx",3047,1,0,1,0,0,0,0,0
1/23/21,17-Dec,"Black, non-Latinx",57964,12,0,1,0,0,0,0,0
1/23/21,17-Dec,All,180859,49,0,6,0,0,0,0,0
1/23/21,11-May,"Asian, non-Latinx",10651,0,0,0,0,0,0,0,0
1/23/21,17-Dec,Latinx,76627,11,0,1,0,0,0,0,0
1/23/21,17-Dec,Unknown,,3,,0,,0,,0,
1/23/21,17-Dec,"White, non-Latinx",35643,13,0,2,0,0,0,0,0
1/23/21,11-May,"Black, non-Latinx",66458,0,0,0,0,0,0,0,0
1/23/21,11-May,Latinx,83432,0,0,0,0,0,0,0,0
1/23/21,11-May,Unknown,,0,,0,,0,,0,
1/23/21,11-May,"Other, non-Latinx",6225,0,0,0,0,0,0,0,0
1/23/21,11-May,"White, non-Latinx",43777,0,0,0,0,0,0,0,0
1/23/21,18-29,Latinx,147161,4170,2.8,1112,0.8,0,0,0,0
1/23/21,65+,"Asian, non-Latinx",26955,1394,5.2,189,0.7,0,0,0,0
1/23/21,50-64,"Asian, non-Latinx",27117,1786,6.6,750,2.8,0,0,0,0
1/23/21,65+,All,362629,26074,7.2,1874,0.5,0,0,0,0
1/23/21,65+,"Other, non-Latinx",3206,734,22.9,63,2,0,0,0,0
1/30/21,0-4,Latinx,54903,0,0,0,0,0,0,0,0
1/30/21,0-4,"Black, non-Latinx",47946,0,0,0,0,0,0,0,0
1/30/21,0-4,"White, non-Latinx",42995,0,0,0,0,0,0,0,0
1/30/21,0-4,"Asian, non-Latinx",9998,0,0,0,0,0,0,0,0
1/30/21,0-4,"Other, non-Latinx",6925,0,0,0,0,0,0,0,0
1/30/21,0-4,Unknown,,0,,0,,0,,0,
1/30/21,0-4,All,162797,0,0,0,0,0,0,0,0
